Time,allItems,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",YearGroup,IncreaseSpeed,IncreaseSpeedNormalized,MonthCPI,FoodMonthCPI,ShelterMonthCPI,HouseholdMonthCPI,ClothingMonthCPI,TransportationMonthCPI,HealthMonthCPI,RecreationMonthCPI,AlcoholicMonthCPI
15-Oct,120.6,135.2,114.4,114.9,108.2,125.6,114,116.4,137.6,1,0,0.309859155,0.013445378,0.041602465,0.002629273,0.015017668,0.041385948,-0.010244287,0.015138023,0.023746702,0.013254786
15-Nov,120.8,136.2,114.5,113.7,106.5,127.2,114.7,115.3,139,1,0.001658375,0.371662813,0.016835017,0.04287902,0.00262697,0.001762115,0.042074364,0.00952381,0.007023705,0.027629234,0.019809244
15-Dec,120.4,137,114.6,114.1,101.8,126.6,113.9,115.1,137.8,1,-0.003311258,0.186456487,0.019475021,0.045003814,0.004382121,0.009734513,0.034552846,0.024271845,0.007073386,0.029516995,0.017725258
16-Jan,120.7,139.5,114.4,114.7,101.4,125.9,114.6,114.6,140.1,1,0.002491694,0.402718637,0.022881356,0.055219365,0.003508772,0.012356575,0.018072289,0.033661741,0.008802817,0.03057554,0.022627737
16-Feb,120.8,137.9,114.4,115.8,103.4,125,115.1,116,140.2,1,0.0008285,0.340735382,0.015979815,0.03606311,0.003508772,0.016681299,0.017716535,0.010509297,0.012313105,0.025641026,0.024853801
16-Mar,121.8,138.1,114.7,117.1,106,126.9,114.9,117.8,141.1,1,0.008278146,0.618365824,0.016694491,0.034456929,0.006140351,0.022707424,0.003787879,0.005546751,0.016814159,0.033333333,0.030679328
16-Apr,121.8,137.3,115,117.2,105.3,127.7,115.9,116.7,141.2,1,0,0.309859155,0.018394649,0.034664657,0.011433597,0.020905923,-0.011267606,0.012688343,0.025663717,0.030008826,0.029905179
16-May,122.7,137.7,115.3,117.3,105.3,130.3,115.5,119.6,140.9,1,0.007389163,0.585235551,0.017412935,0.024553571,0.011403509,0.022667829,0.009587728,0.017174083,0.013157895,0.025728988,0.02696793
16-Jun,123.1,137,115.8,117.3,103.6,131.7,116.4,120.9,141.1,1,0.003259984,0.431350942,0.01988401,0.017074981,0.016681299,0.020887728,0.025742574,0.023310023,0.021949078,0.021114865,0.026928675
16-Jul,123.3,137.8,115.7,116.9,103.2,131.1,115.9,123.5,141.8,1,0.001624695,0.370407661,0.020695364,0.022255193,0.015803336,0.013876843,0.036144578,0.021028037,0.019349164,0.030025021,0.032774945
16-Aug,123.4,137.5,116,117.9,103.7,130,116.7,123.5,141.7,1,0.00081103,0.340084301,0.019834711,0.021545319,0.01665206,0.024326672,0.014677104,0.017214397,0.025483304,0.024046434,0.0275562
16-Sep,123.2,135.4,115.9,117,106.9,130.5,115.9,123,141.9,1,-0.001620746,0.249457849,0.018181818,-0.001474926,0.016666667,0.013864818,-0.010185185,0.042332268,0.013111888,0.028428094,0.017204301
16-Oct,123.1,134.1,116.8,117.5,107.3,131.3,116.7,120,142.4,2,-0.000811688,0.279609475,0.017355372,-0.00371471,0.023663453,0.020851434,0.049902153,0.027386541,0.025483304,-0.004975124,0.032632342
16-Nov,122.7,135,117.1,117.3,106.1,129.3,116.3,118.4,142.7,2,-0.003249391,0.188762142,0.014049587,-0.004424779,0.027192982,0.016464471,-0.017592593,0.032747604,0.016608392,-0.010033445,0.022939068
16-Dec,122.7,135.7,117.1,116.8,104.3,130.2,116.1,118.2,141.7,2,0,0.309859155,0.017412935,0.003698225,0.023601399,0.016536118,-0.036044362,0.036624204,0.018421053,0.015463918,0.029796512
17-Jan,123.5,136.1,117.1,117.1,102.2,133.3,117.4,119.3,143.2,2,0.006519967,0.552842729,0.022350993,-0.000734214,0.022707424,0.029903254,-0.040375587,0.047955975,0.023539669,0.034692108,0.030215827
17-Feb,123.6,136.6,117,117.1,103.7,132.6,116.2,120.6,143.9,2,0.000809717,0.340035354,0.026578073,-0.002919708,0.020942408,0.026292726,0.018664047,0.047393365,0.020193152,0.047784535,0.044267054
17-Mar,124.2,136.6,117.2,116.9,106.5,133.4,116.5,123,144.3,2,0.004854369,0.490769862,0.028997514,-0.02078853,0.024475524,0.019180471,0.050295858,0.059571088,0.016579407,0.073298429,0.029978587
17-Apr,124.4,137.1,117.7,117.8,105.1,134.1,117.8,120.7,144.1,2,0.001610306,0.369871402,0.029801325,-0.005801305,0.028846154,0.017271157,0.016441006,0.0728,0.023457863,0.040517241,0.027817404
17-May,125,138.1,117.8,118.4,105.9,133.6,118.2,123.5,144.5,2,0.004823151,0.489606449,0.026272578,0,0.027027027,0.011101623,-0.000943396,0.052797478,0.028720627,0.048387097,0.024096386
17-Jun,125.2,138.5,118.3,118.7,103.9,133.5,118.3,123.9,144.9,2,0.0016,0.369487324,0.027914614,0.008739985,0.028695652,0.012798635,-0.013295347,0.045418951,0.020707506,0.061696658,0.026203966
17-Jul,125.6,139,118.7,118.5,102.8,133.3,119.4,126.1,145.8,2,0.003194888,0.428924988,0.023634882,0.009440813,0.029488291,0.010230179,-0.02374169,0.023023791,0.033766234,0.054347826,0.034776437
17-Aug,125.9,138.7,119.4,118.3,103.5,134.1,119.5,126.1,145.8,2,0.002388535,0.398874137,0.022745735,0.012408759,0.031088083,0.008525149,-0.000965251,0.018223235,0.026632302,0.043010753,0.033309709
17-Sep,125.7,138,119.5,117.5,105.3,134.1,118.6,124.6,146.3,2,-0.001588562,0.25065724,0.01946472,0.001451379,0.032843561,0.005132592,0.020348837,0.022883295,0.023295945,0.008906883,0.031734838
17-Oct,125.6,137.5,120.3,118.2,107,134.8,119.6,120.4,146.3,3,-0.000795545,0.2802111,0.017828201,0,0.037068966,0.002544529,0.031822565,0.036923077,0.024850043,-0.025101215,0.03246295
17-Nov,125.9,137.8,120.6,118.1,105.1,136.6,118,120.1,146.9,3,0.002388535,0.398874137,0.021915584,0.017725258,0.0405522,0.009401709,-0.016838167,0.046743295,0.018119068,-0.023577236,0.035236082
17-Dec,125.2,138.3,120.7,115.4,103,136.2,117.5,118.8,145.6,3,-0.005559968,0.102652452,0.017059301,0.031319911,0.033390411,-0.01787234,-0.040074557,0.037319117,0.006855184,-0.01,0.02247191
18-Jan,126.1,139.2,120.9,117.8,101.5,137.4,119,119.7,147.7,3,0.007188498,0.577757278,0.027709861,0.031111111,0.032450897,0.004262575,-0.043355325,0.062645012,0.023215821,0.01097973,0.035038542
18-Feb,127,139.3,121.1,119.8,103.8,138.2,118.7,122,149.1,3,0.007137193,0.575845238,0.035044825,0.026529108,0.034158839,0.025684932,-0.004793864,0.061443932,0.022394488,0.0321489,0.052223006
18-Mar,127.4,138.6,121.3,119.4,105.8,139.3,119.1,123.6,150.2,3,0.003149606,0.42723744,0.031578947,0.018368846,0.035866781,0.019641332,0.035225049,0.045011253,0.014480409,0.036043588,0.048882682
18-Apr,127.7,139.5,121.9,120.5,106.3,139.8,119.5,120.5,153.8,3,0.002354788,0.397616468,0.033171521,0.021229868,0.041880342,0.029035013,0.025072324,0.054298643,0.028399312,-0.000829187,0.068797776
18-May,128.4,139.4,122.2,118.7,106.8,140.4,119.2,126.4,154,3,0.005481597,0.514145169,0.033816425,0.020497804,0.042662116,0.015397776,0.002816901,0.052473763,0.023175966,0.027642276,0.067221067
18-Jun,128.6,139.9,122.4,118.7,105.9,141.3,119.5,126.2,154.8,3,0.001557632,0.367908385,0.033762058,0.020423049,0.039932031,0.007640068,0.007611798,0.053691275,0.014431239,0.045567523,0.07425399
18-Jul,129.7,140.4,122.6,118.9,104,143.8,120.1,130,155.5,3,0.008553655,0.628633387,0.0376,0.016654598,0.040747029,0.004222973,-0.017941454,0.076347305,0.01607445,0.052631579,0.076124567
18-Aug,129.6,141.3,122.7,119.1,104.4,142.5,120.8,129.2,155.3,3,-0.00077101,0.281125457,0.03514377,0.020216606,0.037193576,0.00336984,0.00481232,0.06741573,0.021132713,0.042776433,0.071773637
18-Sep,128.9,140.4,123,119.8,108.4,139.1,120.2,126.6,156.3,3,-0.005401235,0.108568075,0.026273885,0.010071942,0.036225779,0.010970464,0.054474708,0.043510878,0.006700168,0.003965107,0.072016461
